,Date,Count,WeekDate,WeekCount
369,2015-12-03,7933.0,2015-11-30,43679.0
370,2015-12-04,8092.0,2015-11-30,43679.0
371,2015-12-05,3819.0,2015-11-30,43679.0
372,2015-12-06,10163.0,2015-11-30,43679.0
373,2015-12-07,10017.0,2015-12-07,69406.0
374,2015-12-08,7261.0,2015-12-07,69406.0
375,2015-12-09,10628.0,2015-12-07,69406.0
376,2015-12-10,8501.0,2015-12-07,69406.0
377,2015-12-11,11638.0,2015-12-07,69406.0
378,2015-12-12,6693.0,2015-12-07,69406.0
379,2015-12-13,14668.0,2015-12-07,69406.0
380,2015-12-14,4466.0,2015-12-14,44378.0
381,2015-12-15,6819.0,2015-12-14,44378.0
382,2015-12-16,3865.0,2015-12-14,44378.0
383,2015-12-17,6924.0,2015-12-14,44378.0
384,2015-12-18,8225.0,2015-12-14,44378.0
385,2015-12-19,8665.0,2015-12-14,44378.0
386,2015-12-20,5414.0,2015-12-14,44378.0
387,2015-12-21,11177.0,2015-12-21,55113.0
388,2015-12-22,6685.0,2015-12-21,55113.0
389,2015-12-23,9295.0,2015-12-21,55113.0
390,2015-12-24,7661.0,2015-12-21,55113.0
391,2015-12-25,4836.0,2015-12-21,55113.0
392,2015-12-26,4460.0,2015-12-21,55113.0
393,2015-12-27,10999.0,2015-12-21,55113.0
394,2015-12-28,8305.0,2015-12-28,69999.0
395,2015-12-29,12641.0,2015-12-28,69999.0
396,2015-12-30,9667.0,2015-12-28,69999.0
397,2015-12-31,17182.0,2015-12-28,69999.0
398,2016-01-01,6143.0,2015-12-28,69999.0
399,2016-01-02,5816.0,2015-12-28,69999.0
400,2016-01-03,10245.0,2015-12-28,69999.0
401,2016-01-04,5507.0,2016-01-04,63182.0
402,2016-01-05,8266.0,2016-01-04,63182.0
403,2016-01-06,6208.0,2016-01-04,63182.0
404,2016-01-07,6759.0,2016-01-04,63182.0
405,2016-01-08,7579.0,2016-01-04,63182.0
406,2016-01-09,7535.0,2016-01-04,63182.0
407,2016-01-10,21328.0,2016-01-04,63182.0
408,2016-01-11,5093.0,2016-01-11,66452.0
409,2016-01-12,13684.0,2016-01-11,66452.0
410,2016-01-13,9584.0,2016-01-11,66452.0
411,2016-01-14,5485.0,2016-01-11,66452.0
412,2016-01-15,3647.0,2016-01-11,66452.0
413,2016-01-16,13110.0,2016-01-11,66452.0
414,2016-01-17,15849.0,2016-01-11,66452.0
415,2016-01-18,7028.0,2016-01-18,59232.0
416,2016-01-19,8567.0,2016-01-18,59232.0
417,2016-01-20,9259.0,2016-01-18,59232.0
418,2016-01-21,5232.0,2016-01-18,59232.0
419,2016-01-22,8166.0,2016-01-18,59232.0
420,2016-01-23,7227.0,2016-01-18,59232.0
421,2016-01-24,13753.0,2016-01-18,59232.0
422,2016-01-25,13001.0,2016-01-25,88701.0
423,2016-01-26,7130.0,2016-01-25,88701.0
424,2016-01-27,18979.0,2016-01-25,88701.0
425,2016-01-28,17083.0,2016-01-25,88701.0
426,2016-01-29,10425.0,2016-01-25,88701.0
427,2016-01-30,7926.0,2016-01-25,88701.0
428,2016-01-31,14157.0,2016-01-25,88701.0
429,2016-02-01,4995.0,2016-02-01,59635.0
430,2016-02-02,7108.0,2016-02-01,59635.0
431,2016-02-03,11711.0,2016-02-01,59635.0
432,2016-02-04,17189.0,2016-02-01,59635.0
433,2016-02-05,5505.0,2016-02-01,59635.0
434,2016-02-06,2060.0,2016-02-01,59635.0
435,2016-02-07,11067.0,2016-02-01,59635.0
436,2016-02-08,7399.0,2016-02-08,64294.0
437,2016-02-09,11532.0,2016-02-08,64294.0
438,2016-02-10,9377.0,2016-02-08,64294.0
439,2016-02-11,8451.0,2016-02-08,64294.0
440,2016-02-12,7364.0,2016-02-08,64294.0
441,2016-02-13,8616.0,2016-02-08,64294.0
442,2016-02-14,11555.0,2016-02-08,64294.0
443,2016-02-15,5208.0,2016-02-15,56797.0
444,2016-02-16,9536.0,2016-02-15,56797.0
445,2016-02-17,5162.0,2016-02-15,56797.0
446,2016-02-18,7918.0,2016-02-15,56797.0
